season_label,minute,label,matches
2023-24,8,8,5
2023-24,9,9,6
2023-24,10,10,3
2023-24,11,11,11
2023-24,12,12,7
2023-24,13,13,10
2023-24,14,14,9
2023-24,15,15,8
2023-24,16,16,4
2023-24,17,17,14
2023-24,18,18,6
2023-24,19,19,6
2023-24,20,20,6
2023-24,21,21,5
2023-24,22,22,4
2023-24,23,23,7
2023-24,24,24,9
2023-24,25,25,9
2023-24,26,26,8
2023-24,27,27,7
2023-24,28,28,4
2023-24,29,29,4
2023-24,30,30,7
2023-24,31,31,7
2023-24,32,32,4
2023-24,33,33,2
2023-24,34,34,3
2023-24,35,35,4
2023-24,36,36,6
2023-24,37,37,4
2023-24,38,38,2
2023-24,39,39,2
2023-24,40,40,2
2023-24,41,41,1
2023-24,42,42,4
2023-24,43,43,2
2023-24,44,44,3
2023-24,45,45,5
2023-24,46,46,3
2023-24,47,47,7
2023-24,48,48,2
2023-24,49,49,7
2023-24,50,50,3
2023-24,51,51,5
2023-24,52,52,4
2023-24,53,53,4
2023-24,54,54,3
2023-24,55,55,2
2023-24,56,56,2
2023-24,57,57,2
2023-24,58,58,3
2023-24,59,59,2
2023-24,60,60,2
2023-24,61,61,0
2023-24,62,62,0
2023-24,63,63,2
2023-24,64,64,4
2023-24,65,65,3
2023-24,66,66,1
2023-24,67,67,1
2023-24,68,68,1
2023-24,69,69,1
2023-24,70,70,0
2023-24,71,71,2
2023-24,72,72,3
2023-24,73,73,5
2023-24,74,74,2
2023-24,75,75,1
2023-24,76,76,1
2023-24,77,77,0
2023-24,78,78,0
2023-24,79,79,3
2023-24,80,80,1
2023-24,81,81,1
2023-24,82,82,0
2023-24,83,83,0
2023-24,84,84,1
2023-24,85,85,0
2023-24,86,86,2
2023-24,87,87,3
2023-24,88,88,0
2023-24,89,89,1
2023-24,90,90,0
2023-24,91,90+,3
2024-25,1,1,10
2024-25,2,2,12
2024-25,3,3,6
2024-25,4,4,10
2024-25,5,5,8
2024-25,6,6,6
2024-25,7,7,8
2024-25,8,8,7
2024-25,9,9,9
2024-25,10,10,8
2024-25,11,11,8
2024-25,12,12,11
2024-25,13,13,11
2024-25,14,14,12
2024-25,15,15,9
2024-25,16,16,9
2024-25,17,17,10
2024-25,18,18,7
2024-25,19,19,5
2024-25,20,20,8
2024-25,21,21,9
2024-25,22,22,1
2024-25,23,23,7
2024-25,24,24,7
2024-25,25,25,5
2024-25,26,26,4
2024-25,27,27,5
2024-25,28,28,6
2024-25,29,29,9
2024-25,30,30,4
2024-25,31,31,4
2024-25,32,32,2
2024-25,33,33,3
2024-25,34,34,5
2024-25,35,35,9
2024-25,36,36,3
2024-25,37,37,6
2024-25,38,38,4
2024-25,39,39,0
2024-25,40,40,1
2024-25,41,41,0
2024-25,42,42,4
2024-25,43,43,5
2024-25,44,44,2
2024-25,45,45,3
2024-25,46,46,1
2024-25,47,47,6
2024-25,48,48,2
2024-25,49,49,5
2024-25,50,50,3
2024-25,51,51,5
2024-25,52,52,2
2024-25,53,53,1
2024-25,54,54,3
2024-25,55,55,3
2024-25,56,56,1
2024-25,57,57,1
2024-25,58,58,2
2024-25,59,59,4
2024-25,60,60,5
2024-25,61,61,2
2024-25,62,62,0
2024-25,63,63,2
2024-25,64,64,2
2024-25,65,65,2
2024-25,66,66,2
2024-25,67,67,3
2024-25,68,68,0
2024-25,69,69,0
2024-25,70,70,3
2024-25,71,71,1
2024-25,72,72,1
2024-25,73,73,1
2024-25,74,74,3
2024-25,75,75,0
2024-25,76,76,3
2024-25,77,77,2
2024-25,78,78,2
2024-25,79,79,0
2024-25,80,80,0
2024-25,81,81,1
2024-25,82,82,1
2024-25,83,83,1
2024-25,84,84,1
2024-25,85,85,1
2024-25,86,86,1
2024-25,87,87,2
2024-25,88,88,0
2024-25,89,89,0
2024-25,90,90,0
2024-25,91,90+,2
2025-26,1,1,5
2025-26,2,2,7
2025-26,3,3,4
2025-26,4,4,8
2025-26,5,5,13
2025-26,6,6,9
2025-26,7,7,6
2025-26,8,8,7
2025-26,9,9,11
2025-26,10,10,6
2025-26,11,11,6
2025-26,12,12,5
2025-26,13,13,7
2025-26,14,14,8
2025-26,15,15,5
2025-26,16,16,2
2025-26,17,17,8
2025-26,18,18,11
2025-26,19,19,6
2025-26,20,20,3
2025-26,21,21,4
2025-26,22,22,2
2025-26,23,23,4
2025-26,24,24,6
2025-26,25,25,6
2025-26,26,26,4
2025-26,27,27,5
2025-26,28,28,5
2025-26,29,29,7
2025-26,30,30,5
2025-26,31,31,5
2025-26,32,32,8
2025-26,33,33,4
2025-26,34,34,9
2025-26,35,35,5
2025-26,36,36,6
2025-26,37,37,7
2025-26,38,38,5
2025-26,39,39,4
2025-26,40,40,0
2025-26,41,41,4
2025-26,42,42,8
2025-26,43,43,8
2025-26,44,44,1
2025-26,45,45,2
2025-26,46,46,5
2025-26,47,47,4
2025-26,48,48,4
2025-26,49,49,2
