team_name,team_short_name,minute
Sheffield United,Sheff Utd,61
Sheffield United,Sheff Utd,62
Sheffield United,Sheff Utd,63
Sheffield United,Sheff Utd,63
Sheffield United,Sheff Utd,63
Sheffield United,Sheff Utd,63
Sheffield United,Sheff Utd,64
Sheffield United,Sheff Utd,66
Sheffield United,Sheff Utd,66
Sheffield United,Sheff Utd,67
Sheffield United,Sheff Utd,68
Sheffield United,Sheff Utd,69
Sheffield United,Sheff Utd,69
Sheffield United,Sheff Utd,69
Sheffield United,Sheff Utd,69
Sheffield United,Sheff Utd,70
Sheffield United,Sheff Utd,70
Sheffield United,Sheff Utd,70
Sheffield United,Sheff Utd,71
Sheffield United,Sheff Utd,71
Sheffield United,Sheff Utd,72
Sheffield United,Sheff Utd,72
Sheffield United,Sheff Utd,75
Sheffield United,Sheff Utd,75
Sheffield United,Sheff Utd,75
Sheffield United,Sheff Utd,75
Sheffield United,Sheff Utd,75
Sheffield United,Sheff Utd,76
Sheffield United,Sheff Utd,76
Sheffield United,Sheff Utd,77
Sheffield United,Sheff Utd,79
Sheffield United,Sheff Utd,80
Sheffield United,Sheff Utd,80
Sheffield United,Sheff Utd,80
Sheffield United,Sheff Utd,80
Sheffield United,Sheff Utd,81
Sheffield United,Sheff Utd,82
Sheffield United,Sheff Utd,82
Sheffield United,Sheff Utd,83
Sheffield United,Sheff Utd,83
Sheffield United,Sheff Utd,83
Sheffield United,Sheff Utd,85
Sheffield United,Sheff Utd,85
Sheffield United,Sheff Utd,86
Sheffield United,Sheff Utd,87
Sheffield United,Sheff Utd,88
Sheffield United,Sheff Utd,89
Sheffield United,Sheff Utd,89
Sheffield United,Sheff Utd,89
Sheffield United,Sheff Utd,89
Sheffield United,Sheff Utd,89
Sheffield Wednesday,Sheff Wed,9
Sheffield Wednesday,Sheff Wed,26
Sheffield Wednesday,Sheff Wed,35
Sheffield Wednesday,Sheff Wed,41
Sheffield Wednesday,Sheff Wed,45
Sheffield Wednesday,Sheff Wed,45
Sheffield Wednesday,Sheff Wed,45
Sheffield Wednesday,Sheff Wed,45
Sheffield Wednesday,Sheff Wed,50
Sheffield Wednesday,Sheff Wed,51
Sheffield Wednesday,Sheff Wed,52
Sheffield Wednesday,Sheff Wed,53
Sheffield Wednesday,Sheff Wed,55
Sheffield Wednesday,Sheff Wed,55
Sheffield Wednesday,Sheff Wed,56
Sheffield Wednesday,Sheff Wed,57
Sheffield Wednesday,Sheff Wed,57
Sheffield Wednesday,Sheff Wed,58
Sheffield Wednesday,Sheff Wed,60
Sheffield Wednesday,Sheff Wed,60
Sheffield Wednesday,Sheff Wed,64
Sheffield Wednesday,Sheff Wed,65
Sheffield Wednesday,Sheff Wed,65
Sheffield Wednesday,Sheff Wed,65
Sheffield Wednesday,Sheff Wed,66
Sheffield Wednesday,Sheff Wed,66
Sheffield Wednesday,Sheff Wed,67
Sheffield Wednesday,Sheff Wed,67
Sheffield Wednesday,Sheff Wed,69
Sheffield Wednesday,Sheff Wed,69
Sheffield Wednesday,Sheff Wed,70
Sheffield Wednesday,Sheff Wed,70
Sheffield Wednesday,Sheff Wed,70
Sheffield Wednesday,Sheff Wed,70
Sheffield Wednesday,Sheff Wed,70
Sheffield Wednesday,Sheff Wed,70
Sheffield Wednesday,Sheff Wed,70
Sheffield Wednesday,Sheff Wed,72
Sheffield Wednesday,Sheff Wed,73
Sheffield Wednesday,Sheff Wed,73
Sheffield Wednesday,Sheff Wed,73
Sheffield Wednesday,Sheff Wed,73
Sheffield Wednesday,Sheff Wed,74
Sheffield Wednesday,Sheff Wed,74
Sheffield Wednesday,Sheff Wed,75
Sheffield Wednesday,Sheff Wed,76
Sheffield Wednesday,Sheff Wed,76
Sheffield Wednesday,Sheff Wed,77
Sheffield Wednesday,Sheff Wed,77
Sheffield Wednesday,Sheff Wed,77
Sheffield Wednesday,Sheff Wed,79
Sheffield Wednesday,Sheff Wed,80
Sheffield Wednesday,Sheff Wed,80
Sheffield Wednesday,Sheff Wed,81
Sheffield Wednesday,Sheff Wed,82
Sheffield Wednesday,Sheff Wed,84
Sheffield Wednesday,Sheff Wed,84
Sheffield Wednesday,Sheff Wed,85
Sheffield Wednesday,Sheff Wed,85
Sheffield Wednesday,Sheff Wed,86
Sheffield Wednesday,Sheff Wed,86
Sheffield Wednesday,Sheff Wed,86
Sheffield Wednesday,Sheff Wed,88
Sheffield Wednesday,Sheff Wed,88
Sheffield Wednesday,Sheff Wed,89
Southampton,Southampton,7
Southampton,Southampton,22
Southampton,Southampton,23
Southampton,Southampton,37
Southampton,Southampton,45
Southampton,Southampton,45
Southampton,Southampton,45
Southampton,Southampton,45
Southampton,Southampton,52
Southampton,Southampton,55
Southampton,Southampton,56
Southampton,Southampton,57
Southampton,Southampton,58
Southampton,Southampton,58
Southampton,Southampton,59
Southampton,Southampton,62
Southampton,Southampton,63
Southampton,Southampton,64
Southampton,Southampton,65
Southampton,Southampton,65
Southampton,Southampton,65
Southampton,Southampton,67
Southampton,Southampton,67
