manager_name,team_id,games,wins,draws,losses,win_pct
Micky Adams,17,1,0,0,1,0.0
Mike Jackson,90,12,3,4,5,25.0
Mike Phelan,88,20,3,4,13,15.0
Mike Stowell,13,3,1,0,2,33.3
Mike Walker,45,65,31,16,18,47.7
Mike Walker,11,31,6,9,16,19.4
Mikel Arteta,3,248,149,48,51,60.1
Nathan Jones,20,8,1,0,7,12.5
Neil Adams,45,5,0,1,4,0.0
Neil Warnock,97,38,10,4,24,26.3
Neil Warnock,49,38,10,8,20,26.3
Neil Warnock,52,20,4,5,11,20.0
Neil Warnock,31,16,3,6,7,18.8
Nigel Adkins,20,22,5,7,10,22.7
Nigel Adkins,108,8,1,2,5,12.5
Nigel Pearson,13,38,11,8,19,28.9
Nigel Pearson,57,20,7,4,9,35.0
Nigel Pearson,4,2,0,1,1,0.0
Nigel Worthington,45,38,7,12,19,18.4
Nuno Espírito Santo,39,114,43,32,39,37.7
Nuno Espírito Santo,17,62,26,13,23,41.9
Nuno Espírito Santo,21,33,9,9,15,27.3
Nuno Espírito Santo,6,10,5,0,5,50.0
Ole Gunnar Solskjær,1,109,56,29,24,51.4
Ole Gunnar Solskjær,97,18,3,3,12,16.7
Oliver Glasner,31,90,31,30,29,34.4
Ossie Ardiles,6,54,16,14,24,29.6
Owen Coyle,30,96,28,19,49,29.2
Owen Coyle,90,20,5,5,10,25.0
Paddy McCarthy,31,1,0,0,1,0.0
Paolo Di Canio,56,12,2,3,7,16.7
Pat Rice,3,3,3,0,0,100.0
Patrick Vieira,31,65,17,24,24,26.2
Paul Clement,80,37,12,5,20,32.4
Paul Hart,47,27,6,6,15,22.2
Paul Heckingbottom,49,24,4,2,18,16.7
Paul Ince,5,17,3,4,10,17.6
Paul Jewell,111,76,25,14,37,32.9
Paul Jewell,55,38,9,9,20,23.7
Paul Jewell,24,24,0,5,19,0.0
Paul Lambert,7,101,25,26,50,24.8
Paul Lambert,45,38,12,11,15,31.6
Paul Lambert,110,16,2,7,7,12.5
Paul Sturrock,20,13,5,2,6,38.5
Pep Guardiola,43,380,269,58,53,70.8
Pepe Mel,35,18,3,6,9,16.7
Peter Reid,56,161,53,44,64,32.9
Peter Reid,43,46,15,13,18,32.6
Peter Reid,2,20,6,3,11,30.0
Peter Shreeves,19,10,4,1,5,40.0
Peter Taylor,13,46,15,8,23,32.6
Phil Brown,88,67,13,20,34,19.4
Phil Neal,9,59,18,18,23,30.5
Phil Thompson,14,24,14,7,3,58.3
Quique Sánchez Flores,57,48,13,13,22,27.1
Rafael Benítez,14,228,126,55,47,55.3
Rafael Benítez,4,86,27,21,38,31.4
Rafael Benítez,8,26,15,6,5,57.7
Rafael Benítez,11,19,5,4,10,26.3
Ralf Rangnick,1,24,10,7,7,41.7
Ralph Hasenhüttl,20,151,47,36,68,31.1
Ray Harford,5,48,18,11,19,37.5
Ray Lewington,31,3,1,1,1,33.3
Ray Lewington,54,3,0,2,1,0.0
Ray Wilkins,52,66,23,11,32,34.8
Ray Wilkins,8,1,0,0,1,0.0
René Meulensteen,54,13,3,1,9,23.1
Ricky Sbragia,56,23,5,6,12,21.7
Rob Edwards,102,38,6,8,24,15.8
Rob Edwards,39,27,3,9,15,11.1
Roberto De Zerbi,36,70,26,19,25,37.1
Roberto De Zerbi,6,7,3,2,2,42.9
Roberto Di Matteo,35,25,7,5,13,28.0
Roberto Di Matteo,8,23,12,6,5,52.2
Roberto Mancini,43,134,83,27,24,61.9
Roberto Martínez,111,152,38,43,71,25.0
Roberto Martínez,11,113,43,34,36,38.1
Ron Atkinson,7,98,38,27,33,38.8
Ron Atkinson,9,64,14,24,26,21.9
Ron Atkinson,19,24,9,5,10,37.5
Ron Atkinson,17,17,5,2,10,29.4
Ronald Koeman,20,76,36,15,25,47.4
Ronald Koeman,11,47,19,12,16,40.4
Roy Evans,14,172,83,46,43,48.3
Roy Hodgson,31,182,59,45,78,32.4
Roy Hodgson,54,94,32,24,38,34.0
Roy Hodgson,5,52,18,13,21,34.6
Roy Hodgson,35,50,18,13,19,36.0
Roy Hodgson,14,20,7,4,9,35.0
Roy Hodgson,57,18,2,3,13,11.1
Roy Keane,56,53,15,9,29,28.3
Roy McFarland,30,22,2,4,16,9.1
Ruben Amorim,1,47,15,13,19,31.9
Rubén Sellés,20,16,2,4,10,12.5
Russell Martin,20,15,1,2,12,6.7
Ruud Gullit,8,63,30,14,19,47.6
Ruud Gullit,4,41,11,12,18,26.8
Ruud van Nistelrooy,13,25,4,3,18,16.0
Ruud van Nistelrooy,1,2,1,1,0,50.0
Ryan Giggs,1,4,2,1,1,50.0
Ryan Mason,6,12,6,1,5,50.0
Régis Le Bris,56,38,14,12,12,36.8
Rémi Garde,7,21,2,6,13,9.5
Sam Allardyce,30,226,80,66,80,35.4
Sam Allardyce,21,114,35,28,51,30.7
Sam Allardyce,5,76,26,21,29,34.2
Sam Allardyce,56,30,9,9,12,30.0
Sam Allardyce,35,25,4,7,14,16.0
Sam Allardyce,11,24,9,7,8,37.5
Sam Allardyce,31,21,8,2,11,38.1
Sam Allardyce,4,21,7,5,9,33.3
Sam Allardyce,2,4,0,1,3,0.0
Sammy Lee,30,11,1,3,7,9.1
Scott Parker,54,48,8,13,27,16.7
Scott Parker,90,34,4,8,22,11.8
Scott Parker,91,4,1,0,3,25.0
Sean Dyche,90,258,72,68,118,27.9
Sean Dyche,11,75,21,23,31,28.0
Sean Dyche,17,18,6,4,8,33.3
Simon Rusk,20,9,0,3,6,0.0
Slaven Bilić,21,87,30,26,31,34.5
Slaven Bilić,35,13,1,4,8,7.7
Slaviša Jokanović,54,12,1,2,9,8.3
Steve Agnew,25,11,1,3,7,9.1
Steve Bruce,41,165,47,47,71,28.5
Steve Bruce,56,89,25,27,37,28.1
Steve Bruce,4,84,23,23,38,27.4
